,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,latent_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,total_3,decoder_3,sindy_x_3,latent_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,total_4,decoder_4,sindy_x_4,latent_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,total_5,decoder_5,sindy_x_5,latent_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,total_6,decoder_6,sindy_x_6,latent_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6
0,0,0.0391150303184986,37.904518127441406,1.2094734907150269,0.0003269465232733,0.0007089952123351,0.0,60,0.0,0.0411170907318592,39.91598892211914,1.1998969316482544,0.0005037448718212,0.0006984938518144,0.0,60,0.0,0.037778366357088,36.1491584777832,1.6279278993606567,0.0005889564054086,0.0006904079345986,0.0,60,0.0,0.0403899140655994,38.87837219238281,1.510406255722046,0.0004257971595507,0.0007095920154824,0.0,60,0.0,0.0441806726157665,42.75679397583008,1.4226253032684326,0.0005011445609852,0.00075335445581,0.0,60,0.0,0.0359527468681335,35.01548385620117,0.936079204082489,0.0004716285911854,0.000712969165761,0.0,60,0.0,0.03381303697824478,32.515445709228516,1.2963272333145142,0.0005485834553837776,0.0007148875156417489,0.0,60,0.0
1,50,0.000709444982931,0.3955174684524536,0.310068130493164,6.729263986926526e-06,0.0038526540156453,0.0,60,0.0,0.000986328930594,0.6574327945709229,0.3256068229675293,2.0476803911151364e-05,0.0032687864731997,0.0,60,0.0,0.0011676279827952,0.727197527885437,0.4368537366390228,0.0007063561351969,0.0028703182470053,0.0,60,0.0,0.0012591019039973,0.8713983297348022,0.3833142220973968,0.000787187484093,0.0036022891290485,0.0,60,0.0,0.0013288023183122,0.9563918709754944,0.3672952651977539,0.0018345182761549,0.0032807511743158,0.0,60,0.0,0.0004905780078843,0.2378934770822525,0.2484844028949737,9.06500736164162e-06,0.0041910884901881,0.0,60,0.0,0.0010102716041728854,0.6501477360725403,0.35678112506866455,2.7257641704636626e-05,0.003315495792776346,0.0,60,0.0
2,100,0.0002423381665721,0.109455294907093,0.1272966116666793,3.975798108513118e-07,0.0055858567357063,0.0,50,0.0,0.000385725084925,0.1840210705995559,0.1973523944616317,1.4906041769791043e-06,0.0043501434847712,0.0,52,0.0,0.0006099243764765,0.339260995388031,0.2666272819042206,3.805408414336853e-05,0.0039979740977287,0.0,56,0.0,0.0004564545524772,0.2744560539722442,0.1767349541187286,8.690292452229187e-05,0.0051766312681138,0.0,59,0.0,0.0013607820728793,1.1805260181427002,0.1752241104841232,0.0017240885645151,0.0033077993430197,0.0,58,0.0,0.0001628282188903,0.0705967172980308,0.0856116339564323,1.3143405794835417e-06,0.0066185528412461,0.0,58,0.0,0.0004886841052211821,0.27277618646621704,0.21203990280628204,5.087883437226992e-06,0.003862949088215828,0.0,53,0.0
3,150,0.0001460004859836,0.0649486482143402,0.0748844221234321,2.170932873468701e-07,0.0061671915464103,0.0,47,0.0,0.0002179135335609,0.076637677848339,0.1358986049890518,5.114829377816932e-07,0.0053767361678183,0.0,51,0.0,0.000363668979844,0.1615304052829742,0.1964058578014373,7.834134521544911e-06,0.0057248868979513,0.0,53,0.0,0.0002347200206713,0.117719329893589,0.1099707260727882,2.573467099864501e-05,0.0070042391307652,0.0,57,0.0,0.0019376680720597,1.7936688661575315,0.1392446458339691,0.0011266047367826,0.0036280406638979,0.0,58,0.0,9.07580106286332e-05,0.0354473628103733,0.0479503013193607,3.403415291813872e-07,0.0073600015603005,0.0,52,0.0,0.00029687071219086647,0.12657923996448517,0.16562363505363464,1.5942325717333006e-06,0.0046662441454827785,0.0,49,0.0
4,200,9.85905498964712e-05,0.0432565547525882,0.0490413345396518,1.691516331447929e-07,0.0062924986705183,0.0,43,0.0,0.0001508929271949,0.0500063821673393,0.0952365696430206,3.270492356932664e-07,0.0056496453471481,0.0,46,0.0,0.0002358023048145,0.0845328271389007,0.1442507058382034,3.4082702313753543e-06,0.0070153782144188,0.0,49,0.0,0.0001529908768134,0.0720819234848022,0.0723775178194046,1.2388966752041595e-05,0.0085190488025546,0.0,56,0.0,0.0023623507004231,2.239548444747925,0.1173012480139732,0.0011249454692006,0.0043759527616202,0.0,57,0.0,5.715881707146764e-05,0.0197687223553657,0.0296946484595537,2.2472005412055299e-07,0.0076952199451625,0.0,51,0.0,0.00020330207189545035,0.06839965283870697,0.12917619943618774,1.1822133956229663e-06,0.005725021939724684,0.0,45,0.0
5,250,6.760466931154951e-05,0.0273585263639688,0.0338066481053829,1.41339072001756e-07,0.0064393505454063,0.0,42,0.2857142857142857,0.0001145109781646,0.0356517657637596,0.0730235129594802,2.40548502006277e-07,0.0058354614302515,0.0,44,0.0,0.0001654155930737,0.0519066303968429,0.1057537496089935,1.532162514195079e-06,0.0077536772005259,0.0,48,0.0,0.0001100290683098,0.0485906265676021,0.0519748143851757,7.433506198140094e-06,0.0094561893492937,0.0,54,0.0,0.0038812970742583,3.768119335174561,0.1071409210562706,0.0011642774334177,0.0048723639920353,0.0,57,0.0,4.089979120180942e-05,0.0136053301393985,0.0193847920745611,1.5783236051447602e-07,0.0079095112159848,0.0,51,0.0,0.00015757996879983693,0.04682091251015663,0.10439253598451614,1.1380852811271325e-06,0.006365389563143253,0.0,42,0.14285714285714285
6,300,4.766463825944811e-05,0.0169148929417133,0.0242560189217329,1.177865698309688e-07,0.0064936107955873,0.0,42,0.2857142857142857,9.150712139671668e-05,0.025339176878333,0.0601659789681434,2.031712256211904e-07,0.0060017616488039,0.0,40,0.1428571428571428,0.0001080892761819,0.0331385768949985,0.0667527914047241,7.21735716524563e-07,0.008197178132832,0.0,46,0.0,8.703396451892331e-05,0.0357399024069309,0.0412035547196865,4.525195890892064e-06,0.0100859850645065,0.0,50,0.0,0.0063014421612024,6.19406795501709,0.1007119268178939,0.001206814777106,0.0054550529457628,0.0,56,0.0,3.62078171747271e-05,0.0131177799776196,0.015084495767951,1.2170210084150312e-07,0.0080054206773638,0.0,51,0.0,0.0001321177405770868,0.03772677481174469,0.0876244604587555,1.0405673265267978e-06,0.006765455938875675,0.0,42,0.14285714285714285
7,350,3.613308217609301e-05,0.011204820126295,0.0184156205505132,9.356775620972256e-08,0.0065125487744808,0.0,41,0.2857142857142857,7.263138832058758e-05,0.0174347851425409,0.0490782000124454,1.7089296022732017e-07,0.0061182370409369,0.0,40,0.1428571428571428,7.076298061292619e-05,0.0202821604907512,0.0419631004333496,3.382786246675096e-07,0.0085173808038234,0.0,46,0.0,6.952297553652897e-05,0.025231871753931,0.0338411182165145,1.7224325574716204e-06,0.0104482667520642,0.0,48,0.0,0.0079323500394821,7.834219455718994,0.0912730693817138,0.0012292250758036,0.0056284349411726,0.0,55,0.0,3.0193677957868204e-05,0.0092080142349004,0.0129533661529421,9.678657875156205e-08,0.0080321999266743,0.0,50,0.0,0.00011610439833020791,0.03229990601539612,0.0767403244972229,1.0108185506396694e-06,0.007063147611916065,0.0,41,0.14285714285714285
8,400,3.0242063076002523e-05,0.0084514683112502,0.0152860796079039,8.106540150265573e-08,0.0065044327639043,0.0,39,0.2857142857142857,5.88239126955159e-05,0.0119477910920977,0.0406758934259414,1.4057644648346468e-07,0.0062000886537134,0.0,39,0.1428571428571428,5.6539713114034384e-05,0.0148591995239257,0.032859094440937,2.367862066421367e-07,0.0088211819529533,0.0,44,0.0,5.395085463533178e-05,0.0175447836518287,0.0257221069186925,3.647641335646769e-07,0.010683599859476,0.0,45,0.0,0.0081805391237139,8.091934204101562,0.0815620049834251,0.0012514076661318,0.005791388452053,0.0,54,0.0,2.7905254682991654e-05,0.0084166396409273,0.0114921322092413,8.049187982805962e-08,0.0079964036121964,0.0,49,0.0,0.0001000890988507308,0.026279322803020477,0.0665818378329277,8.746081334720657e-07,0.007227071560919285,0.0,40,0.14285714285714285
9,450,2.638495061546564e-05,0.0065013882704079,0.0133649865165352,6.721173662072033e-08,0.0065185083076357,0.0,39,0.2857142857142857,5.0625742005649954e-05,0.0096742510795593,0.0346638336777687,1.18096600942863e-07,0.0062875407747924,0.0,39,0.1428571428571428,4.768032522406429e-05,0.0116092441603541,0.0271204132586717,1.646638736474415e-07,0.008950506336987,0.0,42,0.0,4.237260509398766e-05,0.0125334309414029,0.0190896242856979,2.782982164717396e-07,0.0107492730021476,0.0,39,0.0,0.0076889647170901,7.606861591339111,0.0749560520052909,0.0012875656830146,0.0058594271540641,0.0,51,0.0,2.592926102806814e-05,0.0073728254064917,0.0106032323092222,7.34925009737708e-08,0.007953131571412,0.0,49,0.0,8.745700324652717e-05,0.022554654628038406,0.05750877410173416,7.349029829128995e-07,0.007392836734652519,0.0,39,0.14285714285714285
